Circuito,Posicion,Hellinger,Jensen-Shannon,Modo
qaoa_indep_4_mqt.py,70,0.07874610811503148,0.07817989980428838,Local DD
qaoa_indep_4_mqt.py,71,0.11553861441464372,0.11503966576819964,Local DD
bv_5_vq.py,72,0.24937352948388475,0.24259911428199296,Local DD
grover_7_vq.py,73,0.13191170428057922,0.13100060376603218,Local DD
dj_indep_7_mqt.py,74,0.1300940103184844,0.12873195081637742,Local DD
bv_9_vq.py,75,0.6641368756639696,0.6070419233210328,Local DD
vqe_indep_3_mqt.py,76,0.0906535180178525,0.08990932017816176,Local DD
qft_2_mqt.py,77,0.09944658530948343,0.09935158662220833,Local DD
pe_4_mqt.py,78,0.19256694548096873,0.18999188243103665,Local DD
pe_2_vq.py,79,0.09551052186480187,0.09423522250652831,Local DD
adder_n10_vq.py,80,0.2949834582685708,0.2772290255005687,Local DD
qaoa_indep_5_mqt.py,81,0.0757012470573854,0.07559653582181694,Local DD
dj_indep_5_mqt.py,82,0.19434954728833723,0.191680509965176,Local DD
adder_n7_vq.py,83,0.13559090556881848,0.1285393463609914,Local DD
adder_n7_vq.py,84,0.5848060548487899,0.555903203881982,Local DD
vqe_indep_5_mqt.py,85,0.19182282945971993,0.18480942356688876,Local DD
adder_n10_vq.py,86,0.24820934451952,0.23442804889883423,Local DD
vqe_indep_5_mqt.py,87,0.09719368093442819,0.09646441472422562,Local DD
qft_7_vq.py,88,0.2128092472115793,0.2106254521901266,Local DD
kickback_7_vq.py,89,0.006731880073558991,0.006731854542356143,Local DD
dj_indep_5_mqt.py,90,0.12341100913738376,0.12107323871446422,Local DD
grover_3_vq.py,91,0.14640464874908998,0.143492372093508,Local DD
pe_7_mqt.py,92,0.281499737659895,0.2788815694306415,Local DD
pe_5_vq.py,93,0.06857855207806805,0.06789908595829174,Local DD
qft_4_mqt.py,94,0.1817875597693731,0.18034994921015338,Local DD
qft_6_mqt.py,95,0.14282795227991021,0.14218483297558165,Local DD
pe_6_vq.py,96,0.5431435691029413,0.5175606731048136,Local DD
grover-v-chain_3_mqt.py,97,0.11167562328915998,0.11063386961475569,Local DD
bv_4_vq.py,98,0.09432828847974334,0.0937074807608313,Local DD
vqe_indep_3_mqt.py,99,0.09354090826584047,0.0927704000079156,Local DD
pe_7_mqt.py,100,0.24641126239280425,0.2442786320272354,Local DD
grover-noancilla_4_mqt.py,1,0.20683023889523372,0.20573216263803187,Local Robust
grover_3_vq.py,2,0.12452342921952778,0.1228886456481913,Local Robust
vqe_indep_4_mqt.py,3,0.1057050357903367,0.10380017629155677,Local Robust
kickback_7_vq.py,4,0.0044987015590434165,0.0044986939456104465,Local Robust
qft_7_vq.py,5,0.13908224385018403,0.138496907392339,Local Robust
simon_vq.py,6,0.035295888493079214,0.03529145400164465,Local Robust
qft_3_mqt.py,7,0.07865264700554049,0.07858393855545569,Local Robust
grover_7_vq.py,8,0.11670891065813245,0.11514246281716693,Local Robust
qwalk-noancilla_3_mqt.py,9,0.13676057482720047,0.1365030198577301,Local Robust
bv_5_vq.py,10,0.18402511743236782,0.17988914658252486,Local Robust
